wk_code,wk_naam,jaar,number_of_rental,number_rooms,number_apartments,distance,travel_time,VUTravel,lbm,afw,fys,onv,soc,vrz,won
WK036201,Randwijck,2022,1,7,3,3.1,20,0.05,4.328186939975703,0.2259220888320177,-0.007289500760402,0.054136824888332,-0.0037912123140788,0.1890082238243136,-0.0061422468061473
WK036202,Patrimonium,2022,2,1,1,4.1,24,0.05,4.325796064141405,0.2235312129977195,0.0221661606509955,0.0240207580878359,-0.0125333238090234,0.1624917246444883,0.0273858934234229
WK036203,Elsrijk,2022,5,0,5,3.6,23,0.05,4.2880714142166765,0.185806563072991,-0.0068333706340435,0.0308319927926972,-0.0124800546005317,0.1752920388463114,-0.0010040433314425
WK036204,Stadshart,2022,10,4,6,4.6,20,0.05,4.18987089017682,0.0876060390331349,0.014988352250932,-0.0202579156746929,-0.0347124644582833,0.1645476589392649,-0.036959592024086
WK036205,"Uilenstede, Kronenburg",2022,13,12,1,2.3,17,0.075,4.054529948582003,-0.0477349025616828,0.0061912259726652,-0.0764841093972654,-0.0115908730215704,0.1745830141029085,-0.1404341602184213
WK036206,"Bankras, Kostverloren",2022,6,2,4,3.6,23,0.05,4.173881269751701,0.0716164186080151,0.0022431509476008,0.0197591331274567,-0.0393647449116251,0.122861413671221,-0.0338825342266387
WK036207,Buitengebied Noord,2022,2,1,1,4.6,36,0.0,4.428655758459171,0.3263909073154856,-0.00034157918372362914,0.1065386571073649,0.0719149224087615,0.0646110172839908,0.0836678896990915
WK036208,Keizer Karelpark,2022,8,2,6,5.5,26,0.05,4.1970029198051435,0.094738068661458,0.0088971320834767,0.0157969877395195,-0.0251712685123197,0.1283473072077827,-0.0331320898570015
WK036209,Groenelaan,2022,7,4,3,6.0,26,0.05,4.068028551524034,-0.0342362996196506,0.0046949720276606,-0.0133824986478643,-0.0730116066817403,0.084260449152599,-0.0367976154703059
WK036210,"Waardhuizen, Middenhoven",2022,3,2,1,6.5,21,0.05,4.124376714731274,0.0221118635875883,0.0053062941496939,0.032581621788364,-0.0408721661330703,0.0250045899864563,9.15237961440333e-05
WK036211,Bovenkerk - Westwijk Noord,2022,3,1,2,8.8,30,0.05,4.152716059971955,0.0504512088282699,0.0094205415413518,0.0528603585143786,-0.0176335739513746,0.0079167988710328,-0.002112916147119
WK036212,Westwijk Zuid,2022,2,0,2,9.9,33,0.025,4.17143634909939,0.0691714979557049,-0.0030069697983641,0.0500339647551629,0.0285742800672651,-0.0305086475401739,0.0240788704718146
WK036213,Buitengebied Zuid,2022,3,0,3,18.1,63,-0.075,4.186997509859349,0.0847326587156638,-0.0463058906684173,0.0843571277846989,0.060006074032444,-0.0840177728429462,0.0706931204098841
WK036214,Amsterdamse Bos,2022,1,0,1,5.1,41,0.0,4.447309736184864,0.3450448850411785,0.0669574456927608,0.0809858816903517,0.0395450103832137,0.1461763877616841,0.0113801595131675
