wk_code,wk_naam,lbm
WK036201,Randwijck,4.328186939975703
WK036202,Patrimonium,4.325796064141405
WK036203,Elsrijk,4.2880714142166765
WK036204,Stadshart,4.18987089017682
WK036205,"Uilenstede, Kronenburg",4.054529948582003
WK036206,"Bankras, Kostverloren",4.173881269751701
WK036207,Buitengebied Noord,4.428655758459171
WK036208,Keizer Karelpark,4.1970029198051435
WK036209,Groenelaan,4.068028551524034
WK036210,"Waardhuizen, Middenhoven",4.124376714731274
WK036211,Bovenkerk - Westwijk Noord,4.152716059971955
WK036212,Westwijk Zuid,4.17143634909939
WK036213,Buitengebied Zuid,4.186997509859349
WK036214,Amsterdamse Bos,4.447309736184864
