Subject,Predicate,Object
https://data.overheid.nl/dataset/leefbaarometer-2-0---meting-2016,http://www.w3.org/ns/adms#identifier,https://data.overheid.nl/data/dataset/leefbaarometer-2-0---meting-2016
N7c806236309440a69dd157ccc43c3a2e,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,https://data.overheid.nl/dataset/leefbaarometer-2-0---meting-2016.rdf
N22ca7facd7af4bb88d335bc43a6431bd,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,https://data.overheid.nl/dataset/d3a10e8a-8168-44c7-bee6-d77ac1dbf100.rdf
https://data.overheid.nl/dataset/leefbaarometer-2-0---meting-2016,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,https://data.overheid.nl/dataset/leefbaarometer-2-0---meting-2016
Ned7a2e160aca476399093dfceba03ac9,http://purl.org/dc/terms/license,http://creativecommons.org/publicdomain/zero/1.0/deed.nl
N9fb68fc834e542558d174b81e948dfd2,http://purl.org/dc/terms/license,http://creativecommons.org/publicdomain/zero/1.0/deed.nl
https://data.overheid.nl,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,https://data.overheid.nl/vocabularies.rdf
N73c5fd4f415b48bc9b02aeed04ffcb48,http://purl.org/dc/terms/description,Gemiddelde leefbaarometerscore per gemeente
N0bce7b559693484099bc689ef235a5c2,http://purl.org/dc/terms/description,Scores (stand en ontwikkeling) leefbaarheid op gridniveau 2002-2008-2012-2014-2016
N0360313001144f93b790ff98035270fd,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,https://data.overheid.nl/dataset/d3a10e8a-8168-44c7-bee6-d77ac1dbf100.rdf
Na5043493c38743019c2f53dbb71a541d,http://purl.org/dc/terms/title,Shape buurt 2016 zonder water
Nac94bdfaf25846509f2b7b7b82359d87,http://www.w3.org/2000/01/rdf-schema#isDefinedBy,https://data.overheid.nl/dataset/d3a10e8a-8168-44c7-bee6-d77ac1dbf100.rdf
https://data.overheid.nl/dataset/leefbaarometer-2-0---meting-2016,http://purl.org/dc/terms/license,http://creativecommons.org/publicdomain/zero/1.0/deed.nl
http://creativecommons.org/publicdomain/zero/1.0/deed.nl,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://data.overheid.nl/dcat.rdf#License
https://data.overheid.nl/dataset/d3a10e8a-8168-44c7-bee6-d77ac1dbf100,http://purl.org/dc/terms/language,http://publications.europa.eu/resource/authority/language/NLD
N0360313001144f93b790ff98035270fd,http://purl.org/dc/terms/language,http://publications.europa.eu/resource/authority/language/NLD
Na5043493c38743019c2f53dbb71a541d,http://purl.org/dc/terms/language,http://publications.europa.eu/resource/authority/language/NLD
N73c5fd4f415b48bc9b02aeed04ffcb48,http://purl.org/dc/terms/license,http://creativecommons.org/publicdomain/zero/1.0/deed.nl
N0bce7b559693484099bc689ef235a5c2,http://purl.org/dc/terms/license,http://creativecommons.org/publicdomain/zero/1.0/deed.nl
N9fb68fc834e542558d174b81e948dfd2,http://purl.org/dc/terms/title,Score Buurt 2016
