bu_code,bu_naam,jaar,distance (km),number of rental,lbm,lbm-VUDistance,lbm-Rental
BU03940101,Hoofddorp West,2022,20.1,0,4.301010652787861,4.243944613740853,4.301010652787861
BU03940102,Hoofddorp Zuid,2022,20.1,0,4.1447055257741345,4.087639486727126,4.1447055257741345
BU03940103,Hoofddorp Graan voor Visch,2022,19.3,0,4.087154931247059,4.0308612805908295,4.087154931247059
BU03940104,Hoofddorp Oost,2022,20.7,2,4.16849671591535,4.110871299777125,4.168845355915351
BU03940105,Hoofddorp Noord,2022,30.2,0,4.16168612351055,4.096877660105734,4.16168612351055
BU03940106,Hoofddorp Pax West,2022,21.4,0,4.148145263011738,4.08988737932162,4.148145263011738
BU03940107,Hoofddorp Pax Oost,2022,21.0,0,4.16586962844989,4.107970575216607,4.16586962844989
BU03940108,Hoofddorp Bornholm West,2022,21.8,0,4.071181953093491,4.012571884338413,4.071181953093491
BU03940109,Hoofddorp Bornholm Oost,2022,21.7,0,4.149376765356453,4.090854133307125,4.149376765356453
BU03940111,Hoofddorp Overbos Noord,2022,27.3,0,4.004448294566245,3.9415597420516644,4.004448294566245
BU03940112,Hoofddorp Overbos Zuid,2022,23.7,0,4.062205279684022,4.0020060162297515,4.062205279684022
BU03940113,Hoofddorp Toolenburg West,2022,22.8,0,4.149195024386281,4.089732012231681,4.149195024386281
BU03940114,Hoofddorp Toolenburg Oost,2022,20.0,0,4.112811086096669,4.05583989737097,4.112811086096669
BU03940115,Hoofddorp Vrijschot Noord,2022,23.3,0,4.380428555882862,4.320553001520858,4.380428555882862
BU03940116,Hoofddorp Floriande West,2022,25.5,1,4.119499364208058,4.057907958677944,4.119673684208058
BU03940117,Hoofddorp Floriande Oost,2022,24.4,3,4.131531659259429,4.070778834270087,4.132054619259429
BU03940118,Hoofddorp Toolenburg Zuid,2022,21.5,0,4.1135231123088705,4.055176569017614,4.1135231123088705
BU03940119,Hoofddorp De Landman,2022,18.3,0,4.204196909026334,4.148915063465739,4.204196909026334
BU03940122,Hoofddorp Omgeving,2022,32.0,0,4.230396080952669,4.164486621707971,4.230396080952669
BU03940123,Hoofddorp De Hoek,2022,17.3,0,4.29299370289867,4.238780534541648,4.29299370289867
BU03940124,Hoofddorp Graan voor Visch Zuid,2022,18.6,4,3.6716872943847543,3.6160962151815066,3.672384574384754
BU03940125,Hoofddorp Beukenhorst Oost,2022,16.5,0,3.7900387708518606,3.7367260049759894,3.7900387708518606
BU03940126,Hoofddorp De President,2022,18.9,0,3.7287040257010298,3.6728086608062434,3.7287040257010298
